id,name,X2019,TRACTCE,BLKGRPCE,TRACT-BG,City,City2,Hood
1500000US060730001001,"Block Group 1, Census Tract 1, San Diego County, California",1504,100,1,100-1,San Diego,San Diego,Old Town/Mission Hills
1500000US060730001002,"Block Group 2, Census Tract 1, San Diego County, California",1589,100,2,100-2,San Diego,San Diego,Old Town/Mission Hills
1500000US060730002011,"Block Group 1, Census Tract 2.01, San Diego County, California",1891,201,1,201-1,San Diego,San Diego,Mission Hills
1500000US060730002021,"Block Group 1, Census Tract 2.02, San Diego County, California",1331,202,1,202-1,San Diego,San Diego,Midtown/Hillcrest/Mission Hills
1500000US060730002022,"Block Group 2, Census Tract 2.02, San Diego County, California",691,202,2,202-2,San Diego,San Diego,Midtown/Hillcrest/Mission Hills
1500000US060730002023,"Block Group 3, Census Tract 2.02, San Diego County, California",2520,202,3,202-3,San Diego,San Diego,Midtown/Hillcrest/Mission Hills
1500000US060730003001,"Block Group 1, Census Tract 3, San Diego County, California",547,300,1,300-1,San Diego,San Diego,Hillcrest
1500000US060730003002,"Block Group 2, Census Tract 3, San Diego County, California",1018,300,2,300-2,San Diego,San Diego,Hillcrest
1500000US060730003003,"Block Group 3, Census Tract 3, San Diego County, California",1632,300,3,300-3,San Diego,San Diego,Hillcrest
1500000US060730003004,"Block Group 4, Census Tract 3, San Diego County, California",1149,300,4,300-4,San Diego,San Diego,Hillcrest
1500000US060730003005,"Block Group 5, Census Tract 3, San Diego County, California",893,300,5,300-5,San Diego,San Diego,Hillcrest
1500000US060730004001,"Block Group 1, Census Tract 4, San Diego County, California",1961,400,1,400-1,San Diego,San Diego,Hillcrest
1500000US060730004002,"Block Group 2, Census Tract 4, San Diego County, California",927,400,2,400-2,San Diego,San Diego,Hillcrest
1500000US060730004003,"Block Group 3, Census Tract 4, San Diego County, California",913,400,3,400-3,San Diego,San Diego,Hillcrest
1500000US060730005001,"Block Group 1, Census Tract 5, San Diego County, California",1111,500,1,500-1,San Diego,San Diego,University Heights
1500000US060730005002,"Block Group 2, Census Tract 5, San Diego County, California",1190,500,2,500-2,San Diego,San Diego,University Heights
1500000US060730005003,"Block Group 3, Census Tract 5, San Diego County, California",850,500,3,500-3,San Diego,San Diego,University Heights
1500000US060730006001,"Block Group 1, Census Tract 6, San Diego County, California",830,600,1,600-1,San Diego,San Diego,Hillcrest/University Heights
1500000US060730006002,"Block Group 2, Census Tract 6, San Diego County, California",1173,600,2,600-2,San Diego,San Diego,Hillcrest/University Heights
1500000US060730006003,"Block Group 3, Census Tract 6, San Diego County, California",1204,600,3,600-3,San Diego,San Diego,Hillcrest/University Heights
1500000US060730007001,"Block Group 1, Census Tract 7, San Diego County, California",1580,700,1,700-1,San Diego,San Diego,Hillcrest/North Park
1500000US060730007002,"Block Group 2, Census Tract 7, San Diego County, California",2066,700,2,700-2,San Diego,San Diego,Hillcrest/North Park
1500000US060730007003,"Block Group 3, Census Tract 7, San Diego County, California",978,700,3,700-3,San Diego,San Diego,Hillcrest/North Park
1500000US060730008001,"Block Group 1, Census Tract 8, San Diego County, California",831,800,1,800-1,San Diego,San Diego,North Park
1500000US060730008002,"Block Group 2, Census Tract 8, San Diego County, California",710,800,2,800-2,San Diego,San Diego,North Park
1500000US060730008003,"Block Group 3, Census Tract 8, San Diego County, California",1449,800,3,800-3,San Diego,San Diego,North Park
1500000US060730008004,"Block Group 4, Census Tract 8, San Diego County, California",2188,800,4,800-4,San Diego,San Diego,North Park
1500000US060730009001,"Block Group 1, Census Tract 9, San Diego County, California",1229,900,1,900-1,San Diego,San Diego,North Park/University Heights
1500000US060730009002,"Block Group 2, Census Tract 9, San Diego County, California",920,900,2,900-2,San Diego,San Diego,North Park/University Heights
1500000US060730009003,"Block Group 3, Census Tract 9, San Diego County, California",787,900,3,900-3,San Diego,San Diego,North Park/University Heights
1500000US060730009004,"Block Group 4, Census Tract 9, San Diego County, California",963,900,4,900-4,San Diego,San Diego,North Park/University Heights
1500000US060730009005,"Block Group 5, Census Tract 9, San Diego County, California",666,900,5,900-5,San Diego,San Diego,North Park/University Heights
1500000US060730009006,"Block Group 6, Census Tract 9, San Diego County, California",1176,900,6,900-6,San Diego,San Diego,North Park/University Heights
1500000US060730010001,"Block Group 1, Census Tract 10, San Diego County, California",1327,1000,1,1000-1,San Diego,San Diego,North Park/University Heights
1500000US060730010002,"Block Group 2, Census Tract 10, San Diego County, California",1229,1000,2,1000-2,San Diego,San Diego,North Park/University Heights
1500000US060730010003,"Block Group 3, Census Tract 10, San Diego County, California",1081,1000,3,1000-3,San Diego,San Diego,North Park/University Heights
1500000US060730010004,"Block Group 4, Census Tract 10, San Diego County, California",835,1000,4,1000-4,San Diego,San Diego,North Park/University Heights
1500000US060730011001,"Block Group 1, Census Tract 11, San Diego County, California",1176,1100,1,1100-1,San Diego,San Diego,North Park/Mission Valley East
1500000US060730011002,"Block Group 2, Census Tract 11, San Diego County, California",1152,1100,2,1100-2,San Diego,San Diego,North Park/Mission Valley East
1500000US060730011003,"Block Group 3, Census Tract 11, San Diego County, California",840,1100,3,1100-3,San Diego,San Diego,North Park/Mission Valley East
1500000US060730012001,"Block Group 1, Census Tract 12, San Diego County, California",2015,1200,1,1200-1,San Diego,San Diego,North Park
1500000US060730012002,"Block Group 2, Census Tract 12, San Diego County, California",858,1200,2,1200-2,San Diego,San Diego,North Park
1500000US060730012003,"Block Group 3, Census Tract 12, San Diego County, California",1425,1200,3,1200-3,San Diego,San Diego,North Park
1500000US060730012004,"Block Group 4, Census Tract 12, San Diego County, California",1739,1200,4,1200-4,San Diego,San Diego,North Park
1500000US060730013001,"Block Group 1, Census Tract 13, San Diego County, California",1071,1300,1,1300-1,San Diego,San Diego,North Park
1500000US060730013002,"Block Group 2, Census Tract 13, San Diego County, California",1909,1300,2,1300-2,San Diego,San Diego,North Park
1500000US060730013003,"Block Group 3, Census Tract 13, San Diego County, California",1283,1300,3,1300-3,San Diego,San Diego,North Park
1500000US060730013004,"Block Group 4, Census Tract 13, San Diego County, California",903,1300,4,1300-4,San Diego,San Diego,North Park
1500000US060730013005,"Block Group 5, Census Tract 13, San Diego County, California",1090,1300,5,1300-5,San Diego,San Diego,North Park
1500000US060730014001,"Block Group 1, Census Tract 14, San Diego County, California",524,1400,1,1400-1,San Diego,San Diego,North Park
1500000US060730014002,"Block Group 2, Census Tract 14, San Diego County, California",658,1400,2,1400-2,San Diego,San Diego,North Park
1500000US060730014003,"Block Group 3, Census Tract 14, San Diego County, California",2274,1400,3,1400-3,San Diego,San Diego,North Park
1500000US060730015001,"Block Group 1, Census Tract 15, San Diego County, California",1209,1500,1,1500-1,San Diego,San Diego,North Park
